kota,bahanpokok,tahun,bulan,stok,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
kab_banjarnegara,beras,2024,10,51000.0,,,,,,,,,,,
kab_banjarnegara,jagung,2024,10,1010.0,,,,,,,,,,,
kab_banjarnegara,kedelai,2024,10,8000.0,,,,,,,,,,,
kab_banjarnegara,bawangmerah,2024,10,500.0,,,,,,,,,,,
kab_banjarnegara,bawangputih,2024,10,500.0,,,,,,,,,,,
kab_banjarnegara,cabaibesar,2024,10,,,,,,,,,,,,
kab_banjarnegara,cabairawit,2024,10,,,,,,,,,,,,
kab_banjarnegara,dagingsapi,2024,10,1480.0,,,,,,,,,,,
kab_banjarnegara,dagingayamras,2024,10,1070.0,,,,,,,,,,,
kab_banjarnegara,telur,2024,10,805.614035087719,,,,,,,,,,,
kab_banjarnegara,gulapasir,2024,10,5000.0,,,,,,,,,,,
kab_banjarnegara,minyakgoreng,2024,10,2720.0,,,,,,,,,,,
kab_banyumas,beras,2024,10,41351.4875239923,,,,,,,,,,,
kab_banyumas,jagung,2024,10,3000.0,,,,,,,,,,,
kab_banyumas,kedelai,2024,10,1250.0,,,,,,,,,,,
kab_banyumas,bawangmerah,2024,10,2078.76923076923,,,,,,,,,,,
kab_banyumas,bawangputih,2024,10,5400.6941410129,,,,,,,,,,,
kab_banyumas,cabaibesar,2024,10,1352.4,,,,,,,,,,,
kab_banyumas,cabairawit,2024,10,1835.625,,,,,,,,,,,
kab_banyumas,dagingsapi,2024,10,141.714285714285,,,,,,,,,,,
kab_banyumas,dagingayamras,2024,10,49703.1629392971,,,,,,,,,,,
kab_banyumas,telur,2024,10,14989.7229219143,,,,,,,,,,,
kab_banyumas,gulapasir,2024,10,18224.0034256351,,,,,,,,,,,
kab_banyumas,minyakgoreng,2024,10,1595.51491166077,,,,,,,,,,,
kab_batang,beras,2024,10,10726.1904761904,,,,,,,,,,,
kab_batang,jagung,2024,10,2844.03409090909,,,,,,,,,,,
kab_batang,kedelai,2024,10,40514.5894607843,,,,,,,,,,,
kab_batang,bawangmerah,2024,10,162.0,,,,,,,,,,,
kab_batang,bawangputih,2024,10,708.959999999999,,,,,,,,,,,
kab_batang,cabaibesar,2024,10,110.833333333333,,,,,,,,,,,
kab_batang,cabairawit,2024,10,195.0,,,,,,,,,,,
kab_batang,dagingsapi,2024,10,79.108280254777,,,,,,,,,,,
kab_batang,dagingayamras,2024,10,110.588235294117,,,,,,,,,,,
kab_batang,telur,2024,10,2692.96103896103,,,,,,,,,,,
kab_batang,gulapasir,2024,10,1397.64705882352,,,,,,,,,,,
kab_batang,minyakgoreng,2024,10,9516.04803493449,,,,,,,,,,,
kab_blora,beras,2024,10,1116965.97030809,,,,,,,,,,,
kab_blora,jagung,2024,10,3742378.84262477,,,,,,,,,,,
kab_blora,kedelai,2024,10,13777.1773906861,,,,,,,,,,,
kab_blora,bawangmerah,2024,10,8.032,,,,,,,,,,,
kab_blora,bawangputih,2024,10,0.0,,,,,,,,,,,
kab_blora,cabaibesar,2024,10,93.6752136752136,,,,,,,,,,,
kab_blora,cabairawit,2024,10,0.0,,,,,,,,,,,
kab_blora,dagingsapi,2024,10,16598.2419215055,,,,,,,,,,,
kab_blora,dagingayamras,2024,10,0.0,,,,,,,,,,,
kab_blora,telur,2024,10,19728.9112804128,,,,,,,,,,,
